,Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
11549,201310.0,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 1,B,3700.0
11550,201310.0,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,9318.0
11551,201310.0,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,8862.0
11552,201310.0,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Deplaned,Low Fare,Terminal 1,B,132537.0
11553,201310.0,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Enplaned,Low Fare,Terminal 1,B,131519.0
11554,201310.0,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,62.0
11555,201310.0,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,International,A,5369.0
11556,201310.0,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,International,A,5658.0
11557,201310.0,Swiss International,LX,Swiss International,LX,International,Europe,Deplaned,Other,International,G,6550.0
11558,201310.0,Swiss International,LX,Swiss International,LX,International,Europe,Enplaned,Other,International,G,6379.0
11559,201310.0,TACA,TA,TACA,TA,International,Central America,Deplaned,Other,International,A,4056.0
11560,201310.0,TACA,TA,TACA,TA,International,Central America,Enplaned,Other,International,A,4638.0
11561,201310.0,US Airways,US ,US Airways,US ,Domestic,US,Deplaned,Other,Terminal 1,B,68869.0
11562,201310.0,US Airways,US ,US Airways,US ,Domestic,US,Enplaned,Other,Terminal 1,B,69656.0
11563,201310.0,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,International,G,36255.0
11564,201310.0,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,International,G,43415.0
11565,201310.0,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,573619.0
11566,201310.0,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,558030.0
11567,201310.0,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,F,15589.0
11568,201310.0,United Airlines,UA,United Airlines,UA,International,Asia,Deplaned,Other,International,G,58222.0
11569,201310.0,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Other,International,G,64753.0
11570,201310.0,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Deplaned,Other,International,G,7201.0
11571,201310.0,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Enplaned,Other,International,G,10147.0
11572,201310.0,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,11459.0
11573,201310.0,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,10330.0
11574,201310.0,United Airlines,UA,United Airlines,UA,International,Europe,Deplaned,Other,International,G,42346.0
11575,201310.0,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Other,International,G,36840.0
11576,201310.0,United Airlines,UA,United Airlines,UA,International,Mexico,Deplaned,Other,International,G,16349.0
11577,201310.0,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Other,International,G,18011.0
11578,201310.0,Virgin America,VX,Virgin America,VX,Domestic,US,Deplaned,Low Fare,Terminal 2,D,159491.0
11579,201310.0,Virgin America,VX,Virgin America,VX,Domestic,US,Enplaned,Low Fare,Terminal 2,D,162983.0
11580,201310.0,Virgin America,VX,Virgin America,VX,International,Mexico,Deplaned,Low Fare,International,A,3524.0
11581,201310.0,Virgin America,VX,Virgin America,VX,International,Mexico,Enplaned,Low Fare,Terminal 2,D,3115.0
11582,201310.0,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,10860.0
11583,201310.0,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,11038.0
11584,201310.0,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Deplaned,Other,International,A,5874.0
